DANE,Subsidiado
76563,25346
76606,10354
76616,12947
76622,22006
76670,7476
76736,32797
76823,11438
76828,14236
76834,114400
76845,3107
76863,7045
76869,5303
76890,7979
76892,43543
76895,20406
81001,50748
81065,29392
81220,2984
81300,15858
81591,3525
81736,41080
81794,34363
85001,60211
85010,19302
85015,1374
85125,8466
85136,861
85139,8264
85162,8536
85225,7014
85230,7548
85250,27552
85263,7100
85279,1217
85300,2012
85315,1328
85325,5858
85400,5134
85410,9356
85430,7603
85440,11151
86001,37125
86219,4210
86320,32911
86568,44937
86569,11344
86571,20148
86573,23999
86749,11106
86755,5322
86757,14958
86760,7319
86865,30131
86885,17572
88001,19465
88564,2046
91001,28710
91540,6437
94001,18715
95001,38389
95015,7410
95025,12268
95200,5892
97001,15842
97161,2456
97666,1080
99001,15585
99524,9001
99624,2811
99773,20187
