Divipola;Subsidiado
76233;23146
76243;6805
76246;6332
76248;23844
76250;9146
76275;30053
76306;10113
76318;13962
76364;35818
76377;7567
76400;18338
76403;7705
76497;7628
76520;125159
76563;23472
76606;10208
76616;10696
76622;18613
76670;6517
76736;34670
76823;8408
76828;12965
76834;135631
76845;3253
76863;7489
76869;5117
76890;7508
76892;33476
76895;16944
81001;51012
81065;31659
81220;2970
81300;16262
81591;3386
81736;41228
81794;30988
85001;50521
85010;21311
85015;1314
85125;8122
85136;914
85139;8473
85162;8818
85225;7335
85230;7699
85250;26041
85263;7432
85279;1347
85300;2249
85315;1280
85325;6085
85400;6269
85410;10218
85430;8912
85440;11740
86001;29953
86219;4012
86320;30138
86568;39169
86569;12354
86571;19501
86573;19535
86749;10299
86755;5563
86757;13852
86760;7517
86865;27468
86885;16221
88001;21130
88564;2328
91001;25019
91540;4549
94001;15929
95001;36204
95015;8516
95025;12629
95200;6317
97001;18351
97161;2872
97666;1021
99001;9968
99524;8775
99624;2856
99773;31020
